"File","Line","Property","CurrentAttribute"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\Project_vwQuotationSpool.cs","32","SubjectCode","[StringLength(10)]"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\Project_vwQuote.cs","26","SubjectCode","[StringLength(10)]"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\Project_vwSale.cs","32","SubjectCode","[StringLength(10)]"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\Project_vwSalesOrderSpool.cs","32","SubjectCode","[StringLength(10)]"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\Project_vwTask.cs","21","SubjectCode","[StringLength(10)]"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\Subject_vwAssetStatementAudit.cs","24","SubjectCode","[StringLength(10)]"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\Subject_vwCashAccountAsset.cs","22","SubjectCode","[StringLength(10)]"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\Subject_vwCurrentAccount.cs","23","SubjectCode","[StringLength(10)]"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\Subject_vwInvoiceSummary.cs","15","SubjectCode","[StringLength(10)]"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\Subject_vwInvoiceTask.cs","15","SubjectCode","[StringLength(10)]"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\Subject_vwListActive.cs","15","SubjectCode","[StringLength(10)]"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\Subject_vwListAll.cs","15","SubjectCode","[StringLength(10)]"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\Subject_vwStatementReport.cs","15","SubjectCode","[StringLength(10)]"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\Subject_vwStatusReport.cs","15","SubjectCode","[StringLength(10)]"
"C:\Users\Ian\source\repos\tradecontrol.web\src\TCWeb\Models\Subject_vwTask.cs","15","SubjectCode","[StringLength(10)]"
